web_name , team_name    , position_code, now_cost, ep_next_3gw        , total_points, form, xG                 , xA
Ballard  , Sunderland   , DEF          ,       46, 15.395725998507618 ,           18,  9.0, 0.10792046040296555, 0.5299577713012695
Calafiori, Arsenal      , DEF          ,       56, 13.749595579016983 ,           13,  6.5, 0.8442546129226685 , 0.0
Virgil   , Liverpool    , DEF          ,       60, 11.95133423182348  ,            3,  1.5, 0.33563756942749023, 0.0
Tarkowski, Everton      , DEF          ,       55, 10.794200530987908 ,            4,  2.0, 0.35699406266212463, 0.0
De Ligt  , Man Utd      , DEF          ,       50, 10.65079981023053  ,            4,  2.0, 0.20312173664569855, 0.1362403780221939
Haaland  , Man City     , FWD          ,      141, 57.58897625432505  ,           15,  7.5, 2.286539524793625  , 0.36525797843933105
Ekitiké  , Liverpool    , FWD          ,       86, 18.843865306343666 ,           11,  5.5, 1.0882461071014404 , 0.1383628249168396
Wood     , Nott'm Forest, FWD          ,       76, 12.407825982384612 ,           13,  6.5, 0.45063790678977966, 0.0
Petrović , Bournemouth  , GK           ,       45,  4.063151994182264 ,            8,  4.0, 0.0                , 0.0
Raya     , Arsenal      , GK           ,       55,  3.9928068684299323,           10,  5.0, 0.0                , 0.0
Semenyo  , Bournemouth  , MID          ,       71, 49.966139979949865 ,           21, 10.5, 2.092709481716156  , 0.12662361562252045
Enzo     , Chelsea      , MID          ,       65, 30.811949447746613 ,           13,  6.5, 1.194189190864563  , 0.01898862048983574
Gakpo    , Liverpool    , MID          ,       75, 18.55777305016423  ,            7,  3.5, 0.19875659048557281, 0.6628258228302002
Anderson , Nott'm Forest, MID          ,       55, 17.181890292931268 ,            6,  3.0, 0.4238816797733307 , 0.3639630973339081
Stach    , Leeds        , MID          ,       50, 14.94866720554278  ,            8,  4.0, 0.4103873074054718 , 0.3010127544403076
