Player Name         ,Team           ,Pos, Price,     EP, Pts, Form,   xG,   xA
Dúbravka            ,Burnley        , GK,   4.0,   4.08,  35,  2.0, 0.00, 0.00
Raya                ,Arsenal        , GK,   5.9,   3.77,  53,  4.3, 0.00, 0.00
Guéhi               ,Crystal Palace ,DEF,   5.1,  41.08,  64,  4.7, 1.13, 1.24
Rodon               ,Leeds          ,DEF,   4.1,  26.52,  46,  5.0, 1.04, 0.13
Tarkowski           ,Everton        ,DEF,   5.4,  17.93,  43,  2.7, 0.45, 0.47
Senesi              ,Bournemouth    ,DEF,   5.0,  12.83,  58,  3.3, 0.04, 0.65
Gabriel             ,Arsenal        ,DEF,   6.6,   5.99,  81,  7.3, 0.00, 0.00
Enzo                ,Chelsea        ,MID,   6.7, 134.10,  48,  2.3, 4.94, 2.42
B.Fernandes         ,Man Utd        ,MID,   8.9, 127.51,  50,  4.7, 4.48, 2.76
Semenyo             ,Bournemouth    ,MID,   8.1, 121.92,  75,  1.7, 5.32, 0.46
Sarr                ,Crystal Palace ,MID,   6.7, 102.33,  46,  2.7, 4.15, 1.11
Minteh              ,Brighton       ,MID,   6.0,  75.27,  50,  5.7, 2.21, 2.42
Haaland             ,Man City       ,FWD,  14.9, 279.30, 102,  6.3,11.36, 1.41
Mateta              ,Crystal Palace ,FWD,   8.1, 187.39,  50,  4.3, 8.51, 0.46
Thiago              ,Brentford      ,FWD,   6.3,   7.29,  60,  6.7, 0.00, 0.00
