web_name   , team_name  , position_code, now_cost, ep_next_3gw         , total_points, form, xG                 , xA
Calafiori  , Arsenal    , DEF          ,       57, 39.127228047551405  ,           28,  9.3, 1.2178809493780136 , 0.34801778197288513
J.Timber   , Arsenal    , DEF          ,       57, 27.10264489701092   ,           26,  8.7, 0.555280864238739  , 0.48712843284010887
Andersen   , Fulham     , DEF          ,       45,  9.798050083500293  ,            9,  3.0, 0.13749687373638153, 0.2841188907623291
Rodon      , Leeds      , DEF          ,       40,  3.171521526006827  ,           16,  5.3, 0.0                , 0.0
Dorgu      , Man Utd    , DEF          ,       45,  2.4104987789393633 ,            3,  1.0, 0.05081669241189957, 0.0
Watkins    , Aston Villa, FWD          ,       89, 27.861248829705247  ,            6,  2.0, 0.9710016176104546 , 0.20706670731306076
João Pedro , Chelsea    , FWD          ,       77,  9.233250134207665  ,           26,  8.7, 0.0                , 0.0
Marc Guiu  , Chelsea    , FWD          ,       44,  0.12397221879552195,            2,  0.7, 0.04138287156820297, 0.0
Sánchez    , Chelsea    , GK           ,       50,  3.44795367515811   ,           17,  5.7, 0.0                , 0.0
Dúbravka   , Burnley    , GK           ,       40,  3.354918730122421  ,           10,  3.3, 0.0                , 0.0
Semenyo    , Bournemouth, MID          ,       74, 65.00068886125801   ,           23,  7.7, 2.6559833884239197 , 0.2671510726213455
B.Fernandes, Man Utd    , MID          ,       90, 51.42642857238007   ,           14,  4.7, 1.8285022377967834 , 0.6770486142486334
Ndiaye     , Everton    , MID          ,       65, 32.50876484569119   ,           17,  5.7, 1.2893720269203186 , 0.12135979533195496
M.Salah    , Liverpool  , MID          ,      145, 25.175112432378825  ,           16,  5.3, 0.3706744387745857 , 0.7026655673980713
Reijnders  , Man City   , MID          ,       57, 14.159938978037243  ,           14,  4.7, 0.23593008890748024, 0.20048265159130096
