Player Name         ,Team           ,Pos, Price,     EP, Pts, Form,   xG,   xA
Dúbravka            ,Burnley        , GK,   4.0,   4.09,  33,  4.3, 0.00, 0.00
Areola              ,West Ham       , GK,   4.3,   2.79,  13,  2.3, 0.00, 0.00
Calafiori           ,Arsenal        ,DEF,   5.8,  50.52,  60,  6.0, 1.75, 0.39
Guéhi               ,Crystal Palace ,DEF,   5.0,  41.27,  64,  6.0, 1.13, 1.24
Ballard             ,Sunderland     ,DEF,   4.6,  40.52,  39,  5.3, 1.32, 1.02
Van de Ven          ,Spurs          ,DEF,   4.8,  36.69,  57,  8.3, 1.50, 0.12
Rodon               ,Leeds          ,DEF,   4.1,  26.50,  45,  5.0, 1.04, 0.13
B.Fernandes         ,Man Utd        ,MID,   8.9, 122.39,  45,  5.7, 4.35, 2.52
Gakpo               ,Liverpool      ,MID,   7.6, 115.65,  45,  4.0, 3.35, 3.23
Mbeumo              ,Man Utd        ,MID,   8.4, 113.13,  53,  8.7, 3.90, 2.50
Enzo                ,Chelsea        ,MID,   6.7, 111.79,  45,  1.3, 4.72, 2.03
Sarr                ,Crystal Palace ,MID,   6.6,  97.70,  43,  2.3, 4.02, 0.95
Haaland             ,Man City       ,FWD,  14.8, 260.04,  98,  9.3,10.55, 1.30
Mateta              ,Crystal Palace ,FWD,   7.9, 184.22,  48,  9.3, 8.43, 0.32
Welbeck             ,Brighton       ,FWD,   6.5,  93.15,  43,  8.3, 4.22, 0.27
